ロバ,180,450,ウマと比べて小型で気性が荒いものが多い。餌は少なくても大丈夫なため乾燥した土地などでも生活できる。
チワワ,30,3,世界で最も小さな犬。体は小さいが自分よりも大きい犬に対して怯えることなく立ち向かう。
ニホンアマガエル,4,0.02,日本の全域や東アジアに広く分布する。動いているものに反応するため動かない獲物は食べない。
ヌー,170,250,ウシカモシカとも呼ばれる。4月になると数万頭から数十万頭にもなる大規模な群れで大移動する。
トムソンガゼル,110,30,斜め後ろに伸びたツノが特徴。乾季になると数百頭にもなる群れを作るが、この群れは雨季になると分散する。
オカピ,250,250,コンゴにのみ生息する非常に珍しい動物。足にはシマウマのようなシマがあるがキリンの仲間である。
マントヒヒ,80,20,威嚇やコミュニケーションの時に口を大きく開けて犬歯をむき出しにする。古代エジプトでは神の使者として崇められた。
クロサイ,290,1300,シロサイよりも口の幅が狭い。上唇がよく動くため木の葉を口元に大量に引き寄せて食べることができる。
ブラックバック,150,50,インドやネパールの動物だがアメリカにもいる。成長したオスは体が黒い毛に覆われ、ツノはらせん状にねじれる。
モウコノウマ,260,300,現存する唯一の野生の馬。野生の個体は人によって絶滅させられ、人によって再び野生に戻った。
アメリカバイソン,380,900,北アメリカ大陸に広く分布する。ネイティブ・アメリカンの生活はアメリカバイソンに支えられた。
アメリカグマ,200,400,ヒグマのいない森林に広く分布する。雑食で果物や肉、ハチミツなどを食べる。
ヘラジカ,310,825,北方に生息する偶蹄類では最大級。ユーラシア大陸ではエルク、北アメリカではムースと呼ばれる。
ニホンカモシカ,110,45,日本にのみ生息する特別天然記念物。雪が積もると前足で雪をかき分けて食べ物を探す。
アムールトラ,250,300,アジア東部の森林に生息するが、その森林が伐採されているため数が減少している。
マンドリル,81,27,赤い鼻に青い頬、黄色いヒゲとカラフルな顔が特徴。この顔は昼間でも暗い熱帯雨林で仲間を見分けるためのもの。
ジャワサイ,320,2000,かつては東南アジアに広く分布していたが、現在はインドネシアのジャワ島西部にしかいない。
ウンピョウ,100,23,標高2000mの森林に生息する。木の上から通りかかった獲物を襲うこともある。
マレーバク,250,540,胴体の中央は白で、それ以外は黒い。この模様は夜になると体の輪郭を分かりづらくする。
ジャガー,185,90,アメリカ大陸の密林に生息する。ヒョウに似ているがヒョウよりも大きく、噛む力が非常に強い。
オオアリクイ,120,39,主にアリやシロアリを食べる。前足の爪でアリの巣を破壊し長い舌を素早く出し入れして捕食する。
ティラノサウルス,1300,6000,6500万年前に絶滅した史上最強の肉食恐竜。鋭い歯にはステーキナイフのようなギザギザが付いている。
